Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
Kalif Raymond,DET,WR,30.0,683,734,42.02,35.04,26.12,21.12,13.28
Austin Hooper,NEP,TE,30.0,682,703,42.03,35.05,26.13,21.13,13.29
DJ Turner,LVR,WR,28.0,682,676,42.04,35.06,26.14,21.14,13.30
Drew Sample,CIN,TE,28.0,672,629,42.05,35.07,26.15,21.15,13.31
Tyson Bagent,CHI,QB,24.0,659,271,42.06,35.08,26.16,21.16,13.32
Ryan Flournoy,DAL,WR,25.0,653,696,42.07,35.09,27.01,21.17,14.01
D'Ernest Johnson,JAC,RB,28.0,643,747,42.08,35.10,27.02,21.18,14.02
Jalen Reagor,LAC,WR,26.0,630,591,42.09,35.11,27.03,21.19,14.03
Jamaal Williams,NOS,RB,29.0,620,534,42.10,35.12,27.04,21.20,14.04
Jake Haener,NOS,QB,25.0,615,101,43.01,36.01,27.05,22.01,14.05
Hayden Hurst,LAC,TE,31.0,613,653,43.02,36.02,27.06,22.02,14.06
Joshua Dobbs,SFO,QB,29.0,608,219,43.03,36.03,27.07,22.03,14.07
Stone Smartt,LAC,TE,26.0,607,562,43.04,36.04,27.08,22.04,14.08
Andy Dalton,CAR,QB,37.0,599,485,43.05,36.05,27.09,22.05,14.09
Charlie Kolar,BAL,TE,25.0,596,579,43.06,36.06,27.10,22.06,14.10
Ronnie Bell,SFO,WR,24.0,596,672,43.07,36.07,27.11,22.07,14.11
Nelson Agholor,BAL,WR,31.0,592,602,43.08,36.08,27.12,22.08,14.12
Ronnie Rivers,LAR,RB,25.0,590,684,43.09,36.09,27.13,22.09,14.13
Craig Reynolds,DET,RB,28.0,573,586,43.10,36.10,27.14,22.10,14.14
Tip Reiman,ARI,TE,23.0,571,621,44.01,36.11,27.15,22.11,14.15
Joe Flacco,IND,QB,40.0,566,339,44.02,36.12,27.16,22.12,14.16
Ashton Dulin,IND,WR,27.0,555,523,44.03,37.01,28.01,22.13,14.17
Travis Homer,CHI,RB,26.0,554,641,44.04,37.02,28.02,22.14,14.18
Davis Mills,HOU,QB,26.0,552,166,44.05,37.03,28.03,22.15,14.19
Marcus Mariota,WAS,QB,31.0,551,132,44.06,37.04,28.04,22.16,14.20
Kyle Trask,TBB,QB,26.0,546,163,44.07,37.05,28.05,22.17,14.21
Charlie Jones,CIN,WR,26.0,542,562,44.08,37.06,28.06,22.18,14.22
Peyton Hendershot,KCC,TE,25.0,541,611,44.09,37.07,28.07,22.19,14.23
Anthony Schwartz,MIA,WR,24.0,539,587,44.10,37.08,28.08,22.20,14.24
DeeJay Dallas,ARI,RB,26.0,535,587,45.01,37.09,28.09,23.01,14.25
Devin Duvernay,JAC,WR,27.0,532,622,45.02,37.10,28.10,23.02,14.26
Laviska Shenault,LAC,WR,26.0,527,545,45.03,37.11,28.11,23.03,14.27
