Name,Team,Position,Age,SF Value,Non-SF Value
Mike Gesicki,CIN,TE,29,1761,1990
Mike Williams,PIT,WR,30,1075,1297
Miles Sanders,CAR,RB,27,747,834
Mitchell Trubisky,BUF,QB,30,350,166
Mo Alie-Cox,IND,TE,31,355,363
Najee Harris,PIT,RB,26,3100,4062
Nelson Agholor,BAL,WR,31,592,602
Nick Chubb,CLE,RB,29,2062,2675
Nick Mullens,MIN,QB,29,277,150
Nick Westbrook-Ikhine,TEN,WR,27,1810,1980
Nico Collins,HOU,WR,25,7066,7729
Noah Brown,WAS,WR,29,1339,1515
Noah Fant,SEA,TE,27,1618,1865
Noah Gray,KCC,TE,25,2340,2756
Nyheim Hines,CLE,RB,28,225,273
Olamide Zaccheaus,WAS,WR,27,1175,1261
Parker Washington,JAC,WR,22,2016,2292
Pat Freiermuth,PIT,TE,26,2717,3269
Patrick Mahomes,KCC,QB,29,7258,5648
Peyton Hendershot,KCC,TE,25,541,611
Pierre Strong Jr.,CLE,RB,26,790,956
Puka Nacua,LAR,WR,23,7765,8382
Quentin Johnston,LAC,WR,23,2790,3427
Rachaad White,TBB,RB,26,2900,3762
Raheem Blackshear,CAR,RB,26,408,419
Raheem Mostert,MIA,RB,32,1024,1276
Rakim Jarrett,TBB,WR,24,913,1064
Rashee Rice,KCC,WR,24,5573,6407
Rasheen Ali,BAL,RB,23,1071,1280
Rashid Shaheed,NOS,WR,26,2883,3493
Rashod Bateman,BAL,WR,25,2611,3194
Ray Davis,BUF,RB,25,2511,3195
Ray-Ray McCloud,ATL,WR,28,1563,1766
Rhamondre Stevenson,NEP,RB,26,2932,3750
Ricky Pearsall,SFO,WR,24,3549,4458
Rico Dowdle,DAL,RB,26,2848,3535
Robert Woods,HOU,WR,32,309,281
Roman Wilson,PIT,WR,23,1997,2288
Rome Odunze,CHI,WR,22,5118,6026
Romeo Doubs,GBP,WR,24,2878,3710
Rondale Moore,ATL,WR,24,1438,1547
Ronnie Bell,SFO,WR,24,596,672
Ronnie Rivers,LAR,RB,25,590,684
Roschon Johnson,CHI,RB,23,2131,2643
Russell Gage,FA,WR,29,167,152
Russell Wilson,PIT,QB,36,2672,1819
Ryan Flournoy,DAL,WR,25,653,696
Sam Darnold,MIN,QB,27,4404,3125
Sam Ehlinger,IND,QB,26,175,164
Sam Howell,SEA,QB,24,1444,920
Sam LaPorta,DET,TE,24,5060,5926
Samaje Perine,KCC,RB,29,708,775
Saquon Barkley,PHI,RB,27,6974,7570
Scotty Miller,PIT,WR,27,492,534
Sean Tucker,TBB,RB,23,2090,2446
Sincere McCormick,LVR,RB,24,1513,1596
Sione Vaki,DET,RB,23,1036,1205
Skylar Thompson,MIA,QB,27,289,176
Skyy Moore,KCC,WR,24,687,732
Spencer Rattler,NOS,QB,24,1769,1366
Stefon Diggs,HOU,WR,31,2514,3128
Sterling Shepard,TBB,WR,31,779,746
Stetson Bennett,LAR,QB,27,441,204
Stone Smartt,LAC,TE,26,607,562
Tahj Washington,MIA,WR,23,949,1118
Tank Bigsby,JAC,RB,23,3116,3981
Tank Dell,HOU,WR,25,3308,4280
Tanner Hudson,CIN,TE,30,418,364
Taylor Heinicke,LAC,QB,31,288,164
Taysom Hill,NOS,QB,34,1540,1725
Tee Higgins,CIN,WR,26,5602,6386
Terrace Marshall,LVR,WR,24,766,843
Terry McLaurin,WAS,WR,29,4475,5600
Theo Johnson,NYG,TE,23,2081,2496
Tim Patrick,DET,WR,31,1062,1158
Tip Reiman,ARI,TE,23,571,621
T.J. Hockenson,MIN,TE,27,4064,5031
Tommy DeVito,NYG,QB,26,761,638
Tommy Tremble,CAR,TE,24,1145,1224
Tony Pollard,TEN,RB,27,3038,3909
Travis Etienne,JAC,RB,25,3091,4017
Travis Homer,CHI,RB,26,554,641
Travis Kelce,KCC,TE,35,2740,3461
Trayveon Williams,CIN,RB,27,473,529
Tre Tucker,LVR,WR,23,1907,2225
Trent Sherfield,MIN,WR,28,272,314
Trevor Lawrence,JAC,QB,25,4859,3583
Trey Benson,ARI,RB,22,3238,4310
Trey Lance,DAL,QB,24,992,674
Trey McBride,ARI,TE,25,6524,7114
Trey Palmer,TBB,WR,23,1699,2085
Trey Sermon,IND,RB,25,1002,1264
Treylon Burks,TEN,WR,24,1153,1343
Troy Franklin,DEN,WR,21,2308,2866
Tua Tagovailoa,MIA,QB,26,4531,3434
Tucker Kraft,GBP,TE,24,3458,4274
Tutu Atwell,LAR,WR,25,1464,1790
Ty Chandler,MIN,RB,26,1222,1418
Ty Johnson,BUF,RB,27,1222,1320
Tyjae Spears,TEN,RB,23,2966,3668
Tylan Wallace,BAL,WR,25,854,1003
Tyler Allgeier,ATL,RB,24,2380,2979
Tyler Badie,DEN,RB,24,928,1110
Tyler Boyd,TEN,WR,30,825,966
Tyler Conklin,NYJ,TE,29,1192,1320
Tyler Goodson,IND,RB,24,1011,1294
Tyler Higbee,LAR,TE,32,933,907
Tyler Huntley,MIA,QB,26,728,516
Tyler Johnson,LAR,WR,26,944,1105
Tyler Lockett,SEA,WR,32,1449,1715
Tyler Scott,CHI,WR,23,783,861
Tyquan Thornton,FA,WR,24,510,662
Tyreek Hill,MIA,WR,30,4007,5060
Tyrod Taylor,NYJ,QB,35,399,165
Tyrone Tracy,NYG,RB,25,4007,5123
Tyson Bagent,CHI,QB,24,659,271
Van Jefferson,PIT,WR,28,843,919
Wan'Dale Robinson,NYG,WR,24,2431,3102
Will Dissly,LAC,TE,28,1576,1774
Will Levis,TEN,QB,25,2209,1728
Will Mallory,IND,TE,25,507,527
Will Shipley,PHI,RB,22,1587,1887
Xavier Gipson,NYJ,WR,23,1067,1222
Xavier Hutchinson,HOU,WR,24,1359,1564
Xavier Legette,CAR,WR,23,3165,4158
Xavier Worthy,KCC,WR,21,4509,5527
Zach Charbonnet,SEA,RB,24,3817,4791
Zach Ertz,WAS,TE,34,1512,1759
Zach Wilson,DEN,QB,25,931,492
Zack Moss,CIN,RB,27,1575,1850
Zamir White,LVR,RB,25,1397,1582
Zay Flowers,BAL,WR,24,5047,6003
Zay Jones,ARI,WR,29,740,809
